"Title","Year","Director","Country","Status","Source (IMDb Lists)","In Canon","Reason","Tags","Notes"
"The Holy Mountain","1973","Alejandro Jodorowsky","Chile","⏳ PENDING","100, 158","NO","","led_by, about_community, breakthrough","Experimental surrealism, enlightenment"
"The Truce","1974","Sergio Renán","Argentina","✅ IN CANON","100, 158","YES","First Argentine film ever nominated for an Academy Award","led_by, created_by, breakthrough","Wasted youth, estranged family"
"Topiltzin","1975","Baltazar Polío","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Experimental short, barefoot newspaper boy in San Salvador; heritage not verified - needs individual director/writer heritage verification before any tag"
"Alambrista!","1977","Robert M. Young","US","✅ IN CANON","","YES","","about_community, breakthrough, starring",""
"A Queda","1978","Ruy Guerra, Nelson Xavier","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community","Work accident, justice fight"
"The Place Without Limits","1978","Arturo Ripstein","Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"El Salvador: The People Will Win","1980","Diego de la Texera","El Salvador, Puerto Rico","✅ IN CANON","","YES","","led_by, about_community","Director/writer Diego de la Texera - TMDB's own description identifies him as ""a Puerto Rican filmmaker immersed in the conflict"". FMLN revolutionary history."
"Decision to Win: The First Fruits","1981","Guillermo Escalón, Manuel Sorto","El Salvador","✅ IN CANON","benediktertl El Salvador IMDb list","YES","","led_by, about_community","Manuel Sorto recurs across multiple embedded Salvadoran civil-war documentaries (also co-directed La luz que te decía) - daily life in guerrilla-controlled Morazán"
"El Salvador: Another Vietnam","1981","Glenn Silber, Tété Vasconcellos","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Documentary on the war's origins and US involvement - needs individual director/writer heritage verification before any tag"
"El Salvador: El pueblo vencerà","1981","Diego de la Texera","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","FMLN guerrilla march dramatization - needs individual director/writer heritage verification before any tag"
"Zoot Suit","1981","Luis Valdez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"El Norte","1983","Gregory Nava","US, UK, Mexico","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Siblings flee massacre, journey north"
"The Ballad of Gregorio Cortez","1983","Robert M. Young","US","✅ IN CANON","","YES","","created_by, about_community, starring",""
"The Front Line","1984","Jeff B. Harmon, Max Stahl","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Documentary from rebel/soldier/civilian POVs - needs individual director/writer heritage verification before any tag"
"Kiss of the Spider Woman","1985","Héctor Babenco","Brazil, US","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Gay man, political prisoner, prison"
"The City and the Dogs","1985","Francisco J. Lombardi","Peru","⏳ PENDING","100, 158","NO","","led_by, about_community, breakthrough","Military academy, cadet rebellion"
"The Official Story","1985","Luis Puenzo","Argentina","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Dictatorship, adopted daughter"
"La luz que te decía","1986","María Pazos, Manuel Sorto, Alberto Talamanca","El Salvador","✅ IN CANON","","YES","","led_by, about_community","Manuel Sorto again (see Decision to Win); labor/trade union movement documentary during the civil war"
"Salvador","1986","Oliver Stone","US, UK","❌ EXCLUDED","benediktertl El Salvador IMDb list","NO","Director/co-writer Oliver Stone and lead Richard Boyle character are American, not Latino; James Woods/Jim Belushi lead, not Elpidia Carrillo's supporting role. Story centers the American journalist's arc, not the Salvadoran community's own experience - same distinction as From Dusk Till Dawn/Once Upon a Time in Mexico in CRITERIA.md.","","Canonical 'film about El Salvador' but doesn't clear this taxonomy's bar on inspection"
"Born in East L.A.","1987","Cheech Marin","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"La Bamba","1987","Luis Valdez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"The Houses Are Full of Smoke","1987","Allan Francovich","El Salvador, Guatemala, Nicaragua, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Three-part doc on US involvement across three countries - needs individual director/writer heritage verification before any tag"
"Stand and Deliver","1988","Ramón Menéndez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The Milagro Beanfield War","1988","Robert Redford","US","✅ IN CANON","","YES","","about_community, starring",""
"Doble cara","1989","","El Salvador","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Labor union formation and repression documentary; not found on TMDB, no director credited - needs individual director/writer heritage verification before any tag"
"Romero","1989","John Duigan","US, Mexico","✅ IN CANON","","YES","","starring, about_community","Director John Duigan (Australian) and writer John Sacret Young (American) aren't Latino, so no led_by/created_by - but Raul Julia (Puerto Rican) is top-billed in the literal title role as Archbishop Oscar Romero. Also features Tony Plana (Cuban-American) and Eddie Velez (Puerto Rican) in supporting roles. Centers the defining event of the Salvadoran Civil War."
"10 Years of Taking the Sky by Storm","1991","Sistema Radio Venceremos","El Salvador","✅ IN CANON","","YES","","created_by, about_community","Credited director is Radio Venceremos itself - the FMLN's own rebel broadcaster - unambiguous Salvadoran collective authorship. No individual led_by credit to point to."
"Maria's Story","1991","Pamela Cohen, Monona Wali","El Salvador, US","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","FMLN guerrilla leader documentary access, but directors appear American, not Latina - needs individual director/writer heritage verification before any tag"
"American Me","1992","Edward James Olmos","US","✅ IN CANON","","YES","","led_by, about_community, starring",""
"Like Water for Chocolate","1992","Alfonso Arau","Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Bound by Honor","1993","Taylor Hackford","US","✅ IN CANON","","YES","","created_by, about_community, starring",""
"El Mariachi","1993","Robert Rodriguez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Strawberry and Chocolate","1993","Tomás Gutiérrez Alea, Juan Carlos Tabío","Cuba, Mexico, Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"A Million to Juan","1994","Paul Rodríguez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Mi Vida Loca","1994","Allison Anders","UK, US","✅ IN CANON","","YES","","about_community, starring",""
"My Family","1995","","UK, US","⏳ PENDING","","YES","","led_by, about_community","Quota-blocked: persisted, not yet classified"
"Four Days in September","1997","Bruno Barreto","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Urban guerrilla, ambassador kidnapping"
"Identifying Nelson","1997","Nelson De Witt, John Younger","Honduras, El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Adoptee traces Salvadoran guerrilla birth parents; De Witt/Younger heritage not verified - needs individual director/writer heritage verification before any tag"
"Martín (Hache)","1997","Adolfo Aristarain","Argentina","✅ IN CANON","100, 158","YES","","led_by, about_community","Drug overdose, Madrid father-son"
"Selena","1997","Gregory Nava","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Central Station","1998","Walter Salles","Brazil, France","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community","Fernanda Montenegro, poor communities"
"Foolish Heart","1998","Hector Babenco","Argentina","✅ IN CANON","100, 158","YES","Cannes nomination, coming-of-age drama","led_by, about_community","Man returns to Buenos Aires"
"Tango","1998","Carlos Saura","Spain","❌ EXCLUDED","100, 158","NO","Spanish director. Ambiguous about_community fit - tango-themed but doesn't center Latino community","about_community (ambiguous)","Spanish director; tango is cultural but subject unclear"
"Captain Pantoja and the Special Services","1999","Francisco J. Lombardi","Peru","✅ IN CANON","100, 158","YES","Directed solo; adapted from Vargas Llosa novel by other screenwriters (no created_by)","led_by","Army captain, sexual services"
"A Dog's Will","2000","Guel Arraes","Brazil","✅ IN CANON","100, 158","YES","Folklore comedy, cultural icon, commercial success","led_by, about_community","João Grilo and Chicó, tricksters"
"Amores Perros","2000","Alejandro G. Iñárritu","Mexico","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Car accident, interconnected stories"
"Brainstorm","2000","Laís Bodansky","Brazil","✅ IN CANON","100, 158","YES","Psychiatric reform, multiple festival awards","led_by, about_community","Mental institution, teenager, family"
"Burnt Money","2000","Marcelo Piñeyro","Argentina","✅ IN CANON","100, 158","YES","Goya Award for Best Spanish-language Film","led_by, about_community","Bank robbery, Buenos Aires"
"Nine Queens","2000","Fabián Bielinsky","Argentina","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Argentine con artists"
"Behind the Sun","2001","Walter Salles","Brazil","✅ IN CANON","100, 158","YES","","led_by, about_community","Rival families, violence tradition"
"In the Time of the Butterflies","2001","Mariano Barroso","Mexico, US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"La Ciénaga","2001","Lucrecia Martel","Argentina, France, Spain","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Son of the Bride","2001","Juan José Campanella","Argentina, Spain","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Alzheimer, family themes"
"Spy Kids","2001","Robert Rodriguez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"The Devil's Backbone","2001","Guillermo del Toro","Spain","❌ EXCLUDED","100, 158","NO","Spanish director (though set in Spanish Civil War context); not Latino-led","led_by (fails criterion)","Spanish director, though acclaimed horror"
"The Swamp","2001","Lucrecia Martel","Argentina","⏳ PENDING","100, 158","NO","","led_by, about_community","Two women, provincial town"
"Tortilla Soup","2001","María Ripoll","US","✅ IN CANON","","YES","","led_by, about_community, starring",""
"Y Tu Mamá También","2001","Alfonso Cuarón","Mexico","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Teenage road trip, sexual discovery"
"1932: Scars of Memory","2002","Jeffrey Gould, Carlos Henriquez","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","1932 peasant uprising massacre survivor testimony; Gould is American academic - needs individual director/writer heritage verification before any tag"
"City of God","2002","Fernando Meirelles","Brazil, France, Germany","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Rio favelas, photography/crime"
"Common Ground","2002","Adolfo Aristarain","Argentina","✅ IN CANON","100, 158","YES","","led_by, about_community","Retirement crisis, lavender farm"
"El bonaerense","2002","Pablo Trapero","Argentina, Chile, Spain, France, Netherlands","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Frida","2002","Julie Taymor","US","✅ IN CANON","","YES","","created_by, about_community, breakthrough, starring",""
"George Lopez","2002","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Gotta Kick It Up!","2002","Ramón Menéndez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Intimate Stories","2002","Carlos Sorin","Argentina","✅ IN CANON","100, 158","YES","Silver Condor for Best Film, multiple awards","led_by, about_community","Three journeys, Patagonia"
"Real Women Have Curves","2002","Patricia Cardoso","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Valentin","2002","Alejandro Agresti","Argentina","⏳ PENDING","100, 158","NO","","led_by, about_community","8-year-old boy, family problems"
"A Day Without a Mexican","2004","Sergio Arau","US, Mexico, Spain","✅ IN CANON","","YES","","led_by, created_by, about_community","Director Sergio Arau (Mexican) + co-writer Yareli Arizmendi (Mexican, also stars as Lila Rodriguez) + Sergio Guerrero. Satire on Mexican contribution to the California economy. No starring tag - top-billed cast slot per TMDB is not a Latino actor."
"Machuca","2004","Andrés Wood","Chile, France, Spain, UK","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community","Two boys, social classes, 1973 coup"
"Maria Full of Grace","2004","Joshua Marston","Colombia, US","✅ IN CANON","100, 158","YES","","about_community, starring","Drug mule, pregnant teenager"
"The Motorcycle Diaries","2004","Walter Salles","Argentina, France, UK, US","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Che Guevara, South America transformation"
"Whisky","2004","Juan Pablo Rebella, Pablo Stoll","Uruguay","✅ IN CANON","100, 158","YES","Cannes Un Certain Regard + FIPRESCI, Tokyo Grand Prize","led_by, created_by, breakthrough","Bachelor, wife search"
"Cinema Aspirins and Vultures","2005","Marcelo Gomes","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","1942, backlands, German/Brazilian"
"Innocent Voices","2005","Luis Mandoki","Mexico, El Salvador, US","✅ IN CANON","","YES","","led_by, created_by, about_community","Dir. Luis Mandoki (Mexican); written by Oscar Orlando Torres (Salvadoran) from his own childhood during the civil war"
"On Probation","2005","Damián Szifron","Argentina","✅ IN CANON","100, 158","YES","","led_by, about_community","Psychologist, community service"
"The Aura","2005","Fabián Bielinsky","Argentina","✅ IN CANON","100, 158","YES","","led_by, about_community","Taxidermist, perfect crime"
"The House of Sand","2005","Andrucha Waddington","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Woman in desert, 1910"
"The Violin","2005","Francisco Vargas","Latin America","⏳ PENDING","100, 158","NO","","led_by, about_community","Grandfather, military checkpoint"
"El Cantante","2006","Leon Ichaso","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring, produced_by",""
"Love for Sale","2006","Karim Aïnouz","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Woman raffles body, Northeast Brazil"
"Pan's Labyrinth","2006","Guillermo del Toro","Mexico, Spain, US","✅ IN CANON (EXCEPTION)","100, 158","YES","Mexican director + magical realism tradition; Spanish Civil War setting","led_by, created_by, about_community, starring","Exception: non-Latino setting but Latino director"
"The Year My Parents Went on Vacation","2006","Cao Hamburger","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Jewish neighborhood, 1970 coup"
"Ugly Betty","2006","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Walkout","2006","Edward James Olmos","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Elite Squad","2007","José Padilha","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Rio drug trade, police"
"Estomago: A Gastronomic Story","2007","Marcos Jorge","Brazil","✅ IN CANON","100, 158","YES","Grande Prêmio Cinema Brasil winner, top 100 Brazilian films","led_by, about_community","Cooking talent, São Paulo"
"Silent Light","2007","Carlos Reygadas","Mexico","⏳ PENDING","100, 158","NO","","led_by, about_community","Mennonite community, faith/love"
"The Pope's Toilet","2007","César Charlone, Enrique Fernández","Uruguay","⏳ PENDING","100, 158","NO","","led_by, about_community","Pope's 1988 visit, village"
"Under the Same Moon","2007","Patricia Riggen","Mexico, US, France","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"XXY","2007","Lucía Puenzo","Argentina","⏳ PENDING","100, 158","NO","","led_by, about_community","Intersex teenager, family"
"La Vida Loca","2008","Christian Poveda","El Salvador, France","✅ IN CANON (EXCEPTION)","","YES","Director Christian Poveda is French, not Latino - about_community only, no led_by. He was murdered by gang members in San Salvador after this film's release.","about_community","Documentary on the 18th Street gang in San Salvador; about_community applies regardless of who made it per taxonomy.ts"
"Linha de Passe","2008","Walter Salles, Daniela Thomas","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community","Four brothers, poor family dreams"
"Sleep Dealer","2008","Alex Rivera","Mexico, US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Surviving Guazapa","2008","Roberto d'Avila Alegria","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Soldier and guerrilla trapped together, unlikely friendship - needs individual director/writer heritage verification before any tag"
"15/03/09 La última ofensiva","2009","Juan Carrascal-Ynigo, José Luis Sanz Rodriguez","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","1989 offensive through 2009 FMLN election win - needs individual director/writer heritage verification before any tag"
"Entre nos","2009","Gloria La Morte, Paola Mendoza","USA","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community","Mariana in NYC, family support"
"Giant","2009","Adrián Biniezz","Uruguay","⏳ PENDING","100, 158","NO","","led_by, about_community","Security guard obsession"
"La Mission","2009","Peter Bratt","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Lucha","2009","Maria Breaux","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Short; Reagan-era US arms to the Salvadoran military - needs individual director/writer heritage verification before any tag"
"Sin Nombre","2009","Cary Joji Fukunaga","Honduras","⏳ PENDING","100, 158","NO","","led_by, about_community","Indigenous girl, gangster, border"
"Smoke Gets in Your Eyes","2009","Anna Muylaert","Brazil","✅ IN CANON","100, 158","YES","Wrote and directed solo; 8 awards at Festival de Brasília incl. Best Film/Screenplay","led_by, created_by","Guitar teacher, cigarettes, love"
"The Maid","2009","Sebastián Silva","Chile","✅ IN CANON","100, 158","YES","","led_by, about_community","23-year servant, class dynamics"
"The Milk of Sorrow","2009","Claudia Llosa","Peru","⏳ PENDING","100, 158","NO","","led_by, about_community","Rare disease, trauma"
"The Secret in Their Eyes","2009","Juan José Campanella","Argentina, Spain","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Ricardo Darín, Argentine justice story"
"The Wind Journeys","2009","Ciro Guerra","Colombia","✅ IN CANON","100, 158","YES","","led_by, about_community","Musician's journey, instrument return"
"Undertow","2009","Javier Fuentes-León","Peru","✅ IN CANON","100, 158","YES","Sundance Audience Award, LGBTQ+ narrative","led_by, about_community","Gay fisherman, traditions"
"Which Way Home","2009","Rebecca Cammisa","Honduras, El Salvador, Mexico, US","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Unaccompanied migrant children through Mexico - broader Central America, not El Salvador-specific; Cammisa is American - needs individual director/writer heritage verification before any tag"
"Biutiful","2010","Alejandro G. Iñárritu","Spain","❌ EXCLUDED","100, 158","NO","Mexican director but Spanish immigrant focus, not Latino community","about_community (ambiguous)","Director is Latino but subject doesn't center community"
"Elite Squad 2: The Enemy Within","2010","José Padilha","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community, breakthrough","Sequel, political dispute"
"Machete","2010","Robert Rodriguez, Ethan Maniquis","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Nostalgia for the Light","2010","Patricio Guzmán","Chile","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough","Documentary, astronomy/memory"
"One, the Story of a Goal","2010","Carlos Moreno, Gerardo Muyshondt","El Salvador, Colombia","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","1982 World Cup team documentary; Moreno is Colombian - needs individual director/writer heritage verification before any tag"
"Return to El Salvador","2010","Jamie Moffett","El Salvador, US","⏳ PENDING","altermarianita + vramirez75 TMDB El Salvador lists","NO","","","Post-war reconstruction; director/writers appear American, and synopsis explicitly frames the war ""for a current American audience"" - centers an outsider framing, likely excludable on closer look - needs individual director/writer heritage verification before any tag"
"The Beast","2010","Pedro Ultreras","Mexico, Central America","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Central American migrants generally, not El Salvador-specific - needs individual director/writer heritage verification before any tag"
"A Better Life","2011","Chris Weitz","US","✅ IN CANON","","YES","","about_community, starring",""
"Even the Rain","2011","Icíar Bollaín","France, Mexico, Spain","✅ IN CANON","","YES","","led_by, about_community, starring",""
"Exquisite Corpse","2011","Victor Ruano","El Salvador","✅ IN CANON","","YES","","led_by, created_by, about_community","Director Victor Ruano (also directed El Puma de Quelepa); documentary/fiction/experimental hybrid set in El Salvador"
"La Palabra en el Bosque","2011","Jeffrey Gould, Carlos Henriquez","El Salvador, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Peasant organizing and repression in Morazán; Gould is American academic - needs individual director/writer heritage verification before any tag"
"Las Acacias","2011","Pablo Giorgielli","Paraguay","⏳ PENDING","100, 158","NO","","led_by, about_community","Truck driver, Paraguayan mother/baby"
"Rat Fever","2011","Cláudio Assis","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Poet, tabloíd publication"
"Violeta Went to Heaven","2011","Andrés Wood","Chile","✅ IN CANON","100, 158","YES","Sundance Jury Prize, cultural icon biopic","led_by, about_community","Violeta Parra, singer/folklorist"
"7 Boxes","2012","Juan Carlos Maneglia, Tana Schémbori","Paraguay","⏳ PENDING","100, 158","NO","","led_by, about_community","Market smuggling, unknown contents"
"After Lucia","2012","Michel Franco","Mexico","⏳ PENDING","100, 158","NO","","led_by, about_community","Moving to new town, starting over"
"Mosquita y Mari","2012","Aurora Guerrero","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"Neighboring Sounds","2012","Kleber Mendonça Filho","Brazil","✅ IN CANON","100, 158","YES","","led_by, about_community","Apartment building residents"
"No","2012","","","✅ IN CANON","100, 158","YES","","led_by, about_community, breakthrough","Pinochet referendum, advertising campaign — re-pinned to TMDB id 110398 after a resolution bug mis-matched it to an unrelated film; awaiting re-ingest once Workers AI quota resets."
"The Delay","2012","Rodrigo Plá","Uruguay","⏳ PENDING","100, 158","NO","","led_by, about_community","Single mother, elderly father"
"The Tiniest Place","2012","Tatiana Huezo","Mexico, El Salvador","✅ IN CANON","","YES","","led_by, created_by, about_community","Writer-director Tatiana Huezo, born in El Salvador, raised in Mexico (also directed Prayers for the Stolen, Mexico's Oscar submission)"
"A Wolf at the Door","2013","Fernando Coimbra","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Love triangle, kidnapped child"
"Bad Hair","2013","Mariana Rondón","Venezuela","⏳ PENDING","100, 158","NO","","led_by, about_community","Boy's hair obsession, homophobia"
"Bless Me, Ultima","2013","Carl Franklin","US","✅ IN CANON","","YES","","created_by, about_community, starring",""
"Filly Brown","2013","Michael D. Olmos, Youssef Delara","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Gloria","2013","Sebastián Lelio","Chile","⏳ PENDING","100, 158","NO","","led_by, about_community","Free-spirited older woman, Santiago"
"Heli","2013","Amat Escalante","Mexico","⏳ PENDING","100, 158","NO","","led_by, about_community","Drug cartel, family protection"
"Instructions Not Included","2013","Eugenio Derbez","US, Mexico","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Tattoo","2013","Hilton Lacerda","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Soldier, anarchist cabaret"
"The Boy and the World","2013","Alê Abreu","Brazil","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community, breakthrough","Animated, boy searching for father"
"The Engineer","2013","Mathew Charles, Juan Luis Passarelli","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Criminologist identifying gang violence victims - needs individual director/writer heritage verification before any tag"
"The Golden Dream","2013","Diego Quemada-Diez","Mexico","⏳ PENDING","100, 158","NO","","led_by, about_community","Teenage immigrants, journey north"
"The Liberator","2013","Alberto Arvelo","Venezuela","⏳ PENDING","100, 158","NO","","led_by, about_community","Simón Bolívar biography"
"Bear Story","2014","Gabriel Osorio Vargas","Chile","⏳ PENDING","100, 158","NO","","led_by, created_by, about_community, breakthrough","Animated short, bear's life diorama"
"Behavior","2014","Ernesto Daranas","Cuba","⏳ PENDING","100, 158","NO","","led_by, about_community","Teacher, poor students"
"Casa Grande","2014","Fellipe Barbosa","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Class privilege, teenage struggles"
"Connected by Coffee","2014","Aaron Dennis","Mexico, El Salvador, Nicaragua, US","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Latin American coffee farmers broadly, not El Salvador-specific; Dennis is American - needs individual director/writer heritage verification before any tag"
"Cristela","2014","","US","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough, starring",""
"Jane the Virgin","2014","","US","✅ IN CANON","","YES","","about_community, breakthrough, starring",""
"Malacrianza","2014","Arturo Menéndez","El Salvador","✅ IN CANON","","YES","","led_by, created_by, about_community","Writer-director Arturo Menéndez, Salvadoran (also directed La Palabra de Pablo, entirely Salvadoran-set); piñata seller extortion story, San Salvador"
"Salvador Soy Yo","2014","Douglas Zamora","El Salvador","⏳ PENDING","benediktertl El Salvador IMDb list","NO","","","Fantasy drama, orphaned 12-year-old - needs individual director/writer heritage verification before any tag"
"The Book of Life","2014","Jorge R. Gutierrez","US","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
"The History of Eternity","2014","Camilo Cavalcante","Brazil","⏳ PENDING","100, 158","NO","","led_by, about_community","Synesthetic essay, love/dreams"
"Wild Tales","2014","Damián Szifron","Argentina, Spain, France, UK","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Six interconnected stories, extremes"
"El cuarto de los huesos","2015","Marcela Zamora","El Salvador","✅ IN CANON","","YES","","led_by, about_community","Marcela Zamora, Salvadoran investigative journalist/filmmaker (co-founder, Revista Factum; also directed The Offended); forensic anthropologists identifying civil war mass grave victims"
"Embrace of the Serpent","2015","Ciro Guerra","Argentina, Colombia, Venezuela","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Amazonian shaman, healing plant"
"From Afar","2015","Lorenzo Vigas","Venezuela","⏳ PENDING","100, 158","NO","","led_by, about_community","Wealthy man, street gang leader"
"Ixcanul","2015","Jayro Bustamante","France, Guatemala, Netherlands, Switzerland","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Kaqchikel girl, arranged marriage"
"Land and Shade","2015","César Augusto Acevedo","Colombia","⏳ PENDING","100, 158","NO","","led_by, about_community","Sugar cane worker, grandson"
