"Title","Year","Director","Country","Heritage Verified","About Community","Breakthrough","Critical Acclaim","Decision","Notes","Session"
"The Aura","2005","Fabián Bielinsky","Argentina","✓","⏳","⏳","⏳","✅ ADD","By Nine Queens director","1"
"The House of Sand","2005","Andrucha Waddington","Brazil","⏳","⏳","⏳","⏳","","Female protagonist; experimental",""
"The Violin","2005","Francisco Vargas","Latin America","⏳","⏳","⏳","⏳","","War legacy; verify heritage",""
"Love for Sale","2006","Karim Aïnouz","Brazil","⏳","✓","⏳","⏳","","LGBTQ+ filmmaker; Northeast Brazil",""
"The Year My Parents Went on Vacation","2006","Cao Hamburger","Brazil","⏳","✓","⏳","⏳","","1970 coup; Jewish neighborhood",""
"Estomago: A Gastronomic Story","2007","Marcos Jorge","Brazil","⏳","✓","⏳","⏳","","Food + masculinity","3"
"Silent Light","2007","Carlos Reygadas","Mexico","⏳","❌","⏳","✓","HOLD","Mennonite niche; faith crisis","5"
"Heli","2013","Amat Escalante","Mexico","⏳","✓","⏳","⏳","","Drug cartel; visceral style",""
"After Lucia","2012","Michel Franco","Mexico","⏳","✓","⏳","⏳","","Provocative Mexican filmmaker",""
"Tattoo","2013","Hilton Lacerda","Brazil","⏳","✓","⏳","⏳","","LGBTQ+ + political",""
"Rat Fever","2011","Cláudio Assis","Brazil","⏳","⏳","⏳","⏳","","Literary adaptation; marginal figures",""
"Casa Grande","2014","Fellipe Barbosa","Brazil","⏳","⏳","⏳","⏳","","Teenage perspective on inequality",""
"Behavior","2014","Ernesto Daranas","Cuba","⏳","✓","⏳","⏳","","Cuban teacher + poor students",""
"The Club","2015","Pablo Larraín","Chile","⏳","⏳","⏳","✓","","Priests + child abuse scandal",""
"The Maid","2009","Sebastián Silva","Chile","✓","✓","⏳","✓","✅ ADD","Class dynamics; 23-year servant","1"
"Neighboring Sounds","2012","Kleber Mendonça Filho","Brazil","✓","⏳","⏳","✓","✅ ADD","By Aquarius director","1"
"Linha de Passe","2008","Walter Salles / Daniela Thomas","Brazil","✓","✓","⏳","✓","✅ ADD","Four brothers; family epic","1"
"Smoke Gets in Your Eyes","2009","Anna Muylaert","Brazil","✓","⏳","⏳","⏳","","By Second Mother director",""
"A Wolf at the Door","2013","Fernando Coimbra","Brazil","⏳","✓","⏳","⏳","","Love triangle + kidnapping",""
"Violeta Went to Heaven","2011","Andrés Wood","Chile","✓","✓","✓","✓","✅ ADD","Violeta Parra biopic; cultural icon","1"
"Gloria","2013","Sebastián Lelio","Chile","✓","✓","⏳","✓","✅ ADD","Female protagonist; aging","1"
"Paulina","2015","Santiago Mitre","Argentina","⏳","✓","✓","⏳","","Sexual violence; justice narrative",""
"XXY","2007","Lucía Puenzo","Argentina","✓","✓","✓","⏳","✅ ADD","Groundbreaking intersex narrative","1"
"The Delay","2012","Rodrigo Plá","Uruguay","⏳","⏳","⏳","⏳","","Intergenerational care",""
"Las Acacias","2011","Pablo Giorgielli","Paraguay","⏳","✓","⏳","⏳","","Migration narrative; truck driver",""
"The Pope's Toilet","2007","César Charlone / Enrique Fernández","Uruguay","⏳","⏳","⏳","⏳","","Pope's 1988 visit; religious/political",""
"Giant","2009","Adrián Biniezz","Uruguay","⏳","⏳","⏳","⏳","","Psychological character study",""
"Undertow","2009","Javier Fuentes-León","Peru","✓","✓","⏳","⏳","✅ ADD","LGBTQ+ + rural culture conflict","1"
"The Milk of Sorrow","2009","Claudia Llosa","Peru","✓","✓","✓","✓","✅ ADD","Intergenerational trauma; magical realism","1"
"Bad Hair","2013","Mariana Rondón","Venezuela","⏳","✓","⏳","⏳","✅ ADD","Youth + gender-nonconformity","4"
"The History of Eternity","2014","Camilo Cavalcante","Brazil","⏳","⏳","⏳","⏳","","Experimental; poetic structure",""
"Rend Your Heart","2018","Jorge Furtado","Brazil","⏳","⏳","⏳","⏳","","Political history + father-son",""
"Los silencios","2018","Beatriz Seigner","Colombia","⏳","✓","⏳","⏳","","Amazon + armed conflict",""
"Araby","2017","João Dumans / Affonso Uchoa","Brazil","⏳","✓","⏳","⏳","","Working-class perspective; experimental",""
"The Thin Yellow Line","2015","Celso R. García","Peru","⏳","✓","⏳","⏳","","Road painters; moral journey",""
"Valentina","2020","Cássio Pereira dos Santos","Brazil","⏳","✓","✓","⏳","✅ ADD","Contemporary trans narrative","4"
"Socrates","2018","Alexandre Moratto","Brazil","⏳","✓","⏳","⏳","","15-year orphan; urban poverty",""
"Loveling","2018","Gustavo Pizzi","Brazil","⏳","⏳","⏳","⏳","","Maternal perspective; separation",""
"El Amparo","2016","Rober Calzadilla","Venezuela","⏳","✓","⏳","⏳","","Political violence; documentary-style",""
"From Afar","2015","Lorenzo Vigas","Venezuela","✓","✓","⏳","✓","✅ ADD","LGBTQ+ + class transgression",""
"Land and Shade","2015","César Augusto Acevedo","Colombia","⏳","✓","⏳","⏳","","Sugar cane + generational legacy",""
"The Wind Journeys","2009","Ciro Guerra","Colombia","✓","✓","⏳","✓","✅ ADD","By Embrace of the Serpent director","1"
"The Liberator","2013","Alberto Arvelo","Venezuela","⏳","⏳","⏳","⏳","","Simón Bolívar biography",""
"7 Boxes","2012","Juan Carlos Maneglia / Tana Schémbori","Paraguay","⏳","✓","⏳","⏳","","Paraguayan neo-noir",""
"Bear Story","2014","Gabriel Osorio Vargas","Chile","✓","✓","⏳","✓","✅ ADD","Animated; emotional depth","1"
"Good Manners","2017","Marco Dutra / Juliana Rojas","Brazil","⏳","⏳","⏳","⏳","","Genre-bending; surreal horror",""
"The Heiresses","2018","Marcelo Martinessi","Paraguay","⏳","⏳","⏳","⏳","","Female leads; intimate study",""
"Retablo","2017","Alvaro Delgado Aparicio","Peru","✓","✓","⏳","⏳","","Indigenous-centered; oral tradition",""
"A Twelve-Year Night","2018","Álvaro Brechner","Uruguay","✓","✓","✓","✓","✅ ADD","Tupamaro political imprisonment","1"
"Nostalgia for the Light","2010","Patricio Guzmán","Chile","✓","✓","⏳","✓","✅ ADD","By Guzmán; astronomy + memory","1"
"The Pearl Button","2015","Patricio Guzmán","Chile","✓","✓","⏳","✓","✅ ADD","By Guzmán; environmental essay","1"
"The Edge of Democracy","2019","Petra Costa","Brazil","⏳","✓","✓","✓","✅ ADD","Personal + political Brazilian history","1"
"Ultimos días en La Habana","2016","Fernando Pérez","Cuba","⏳","✓","✓","⏳","","LGBTQ+ + political; AIDS narrative",""
"Bingo: The King of the Mornings","2017","Daniel Rezende","Brazil","⏳","⏳","⏳","⏳","","Entertainment industry critique",""
"Neruda","2016","Pablo Larraín","Chile","✓","⏳","⏳","✓","","Biographical + political",""
"The Movie of My Life","2017","Selton Mello","Brazil","⏳","⏳","⏳","⏳","","Male coming-of-age + identity",""
"Magallanes","2015","Salvador del Solar","Peru","⏳","⏳","✓","⏳","","Military trauma + reconciliation",""
"Sin Nombre","2009","Cary Joji Fukunaga","Honduras","❌","✓","✓","✓","HOLD","Non-Latino director (verify if exception)","5"
"Eternity","2017","Óscar Catacora","Peru","✓","✓","⏳","⏳","","Indigenous perspective; intimate",""
"Umbrella","2020","Helena Hilario / Mario Pece","Brazil","⏳","⏳","⏳","⏳","HOLD","Animated short; very brief",""
"Museo","2018","Alonso Ruizpalacios","Mexico","✓","⏳","✓","✓","✅ ADD","Museum heist + cultural theft","1"
"The Line","2019","Ricardo Laganaro","Brazil","⏳","⏳","⏳","⏳","HOLD","Animated short; experimental",
