country,title,year,kind,director,why_it_matters,status
Costa Rica,The Sound of Things,2016,film,Unknown,Contemporary Costa Rican cinema,IN_CANON
Costa Rica,Clara Sola,2021,film,Nathalie Álvarez Mesén,Gender and rural life,IN_CANON
Costa Rica,Domingo and the Mist,2022,film,Unknown,Contemporary narrative,IN_CANON
Cuba,Lucía,1968,film,Humberto Solás,ICAIC-era revolutionary cinema,IN_CANON
Cuba,Death of a Bureaucrat,1966,film,Tomás Gutiérrez Alea,Revolution and disillusionment,IN_CANON
Cuba,The Last Supper,1976,film,Tomás Gutiérrez Alea,Race and revolution,IN_CANON
Cuba,Strawberry and Chocolate,1993,film,Tomás Gutiérrez Alea & Juan Carlos Tabío,LGBTQ+ history,IN_CANON
Cuba,Memories of Underdevelopment,1968,film,Tomás Gutiérrez Alea,Revolution and cinema,IN_CANON
Cuba,Suite Habana,2003,film,Fernando Pérez,Documentary of daily Havana life,IN_CANON
Cuba,Conducta,2014,film,Erwin Martín Díaz,Contemporary Cuban cinema,IN_CANON
Dominican Republic,Aguibibí,2006,film,Unknown,Dominican identity,NOT_ON_TMDB
Dominican Republic,La lucha de Ana,2012,film,Unknown,Gender and race,IN_CANON
Dominican Republic,Cristo Rey,2013,film,Unknown,Contemporary Dominican cinema,IN_CANON
Dominican Republic,Cocote,2017,film,Unknown,Haiti-Dominican relations,IN_CANON
Dominican Republic,Carajita,2021,film,Unknown,Gender and childhood,IN_CANON
Dominican Republic,Bantú Mama,2021,film,Unknown,Afro-Dominican identity,IN_CANON
Dominican Republic,Perejil,2022,film,Unknown,Contemporary festival cinema,IN_CANON
Ecuador,Ratas ratones rateros,1999,film,Sebastián Cordova,New Ecuadorian cinema,IN_CANON
Ecuador,Crónicas,2004,film,Claudia Llosa,Journalism and media violence,IN_CANON
Ecuador,Qué tan lejos,2006,film,Javier Fuentes-León,Road film and discovery,IN_CANON
Ecuador,Pescador,2011,film,Unknown,Urban precarity,IN_CANON
Ecuador,Alba,2016,film,Unknown,Contemporary Ecuador,IN_CANON
Ecuador,The Longest Night,2019,film,Óscar Fuentes Tapia,Intimate family drama,NOT_ON_TMDB
El Salvador,El pirata negro,1954,film,Unknown,Early Salvadoran cinema,NOT_ON_TMDB
El Salvador,La palabra de Pablo,2017,film,Unknown,Postwar narrative,IN_CANON
El Salvador,The Body Politic,2021,film,Unknown,Contemporary activism,NOT_ON_TMDB
El Salvador,El Suspiro del Silencio,2020,film,Unknown,Migration and loss,IN_CANON
Guatemala,El silencio de Neto,1994,film,Luis Felipe Díaz,Civil-war memory,IN_CANON
Guatemala,Gasolina,2008,film,Unknown,Urban Mayan life,IN_CANON
Guatemala,Las marimbas del infierno,2010,film,Unknown,Indigenous music and culture,IN_CANON
Guatemala,Temblores,2019,film,Jayro Bustamante,Religion and sexuality,IN_CANON
Guatemala,La Llorona,2019,film,Jayro Bustamante,Indigenous mythology and violence,IN_CANON
Guatemala,Cadejo Blanco,2021,film,Unknown,Street life and mythology,IN_CANON
Haiti,The Comedians,1967,film,Peter Glenville,Dictatorship (Duvalier era),OUT_OF_SCOPE
Haiti,Anita,1980,film,Unknown,Haitian cinema,OUT_OF_SCOPE
Haiti,Lumumba: Death of a Prophet,1991,film,Raoul Peck,Postcolonial memory,OUT_OF_SCOPE
Haiti,Royal Bonbon,2002,film,Pascal Aussignac,Dictatorship satire,OUT_OF_SCOPE
Haiti,Moloch Tropical,2009,film,Raoul Peck,Postcolonial identity,OUT_OF_SCOPE
Haiti,Murder in Pacot,2014,film,Laurence Magliagrasse,Urban violence,OUT_OF_SCOPE
Haiti,Freda,2021,film,Fireworks Films,Contemporary Haitian cinema,OUT_OF_SCOPE
Honduras,No hay tierra sin dueño,2002,film,Unknown,Land and inequality,IN_CANON
Honduras,Amor y frijoles,2009,film,Unknown,Popular comedy,IN_CANON
Honduras,Morazán,2017,film,Unknown,National identity,IN_CANON
Honduras,Café con sabor a mi tierra,2019,film,Unknown,Local production,IN_CANON
Honduras,El Xendra,2012,film,Unknown,Genre production,IN_CANON
Mexico,Los olvidados,1950,film,Luis Buñuel,Golden Age legacy,IN_CANON
Mexico,The Exterminating Angel,1962,film,Luis Buñuel,Surrealist political allegory,IN_CANON
Mexico,Canoa,1976,film,Felipe Cazals,Political violence,IN_CANON
Mexico,Rojo amanecer,1989,film,Jorge Fons,Student massacre and memory,IN_CANON
Mexico,Amores perros,2000,film,Guillermo González Iñárritu,New Mexican Cinema,IN_CANON
Mexico,Y tu mamá también,2001,film,Alfonso Cuarón,Contemporary Mexican cinema,IN_CANON
Mexico,Roma,2018,film,Alfonso Cuarón,Global auteur cinema,IN_CANON
Mexico,Macario,1960,film,Ignacio Rodríguez,Golden Age magical realism,IN_CANON
Nicaragua,Alsino and the Condor,1982,film,Unknown,Revolution and Sandinista imagery,IN_CANON
Nicaragua,Walker,1987,film,Unknown,Political history,EXCLUDED
Nicaragua,La Yuma,2009,film,Unknown,Gender and youth,IN_CANON
Nicaragua,Palabras mágicas,2012,film,Unknown,Contemporary Nicaragua,IN_CANON
Nicaragua,El Nica,2015,film,Unknown,National identity,NOT_ON_TMDB
Nicaragua,Antígona,2018,film,Unknown,Political memory,NOT_ON_TMDB
Panama,Plaza Catedral,2021,film,Unknown,Urban contemporary,IN_CANON
Panama,Everybody Changes,2019,film,Unknown,Afro-Panamanian identity,IN_CANON
Panama,Donaire y Esplendor,2017,film,Unknown,Cultural documentation,IN_CANON
Panama,Salsipuedes,2016,film,Unknown,Social realism,IN_CANON
Panama,Box 25,2015,film,Unknown,Urban narrative,IN_CANON
Paraguay,Hamaca paraguaya,2006,film,Paz Encina,Guaraní language and rural life,IN_CANON
Paraguay,Cloudy Times,2014,film,Unknown,Contemporary Paraguay,IN_CANON
Paraguay,The Gold Seekers,2017,film,Unknown,Indigenous displacement,IN_CANON
Paraguay,Nothing But the Sun,2021,film,Unknown,Rural narrative,IN_CANON
Paraguay,EAMI,2022,film,Unknown,Contemporary cinema,IN_CANON
Peru,Juliana,1989,film,Unknown,Post-conflict memory,IN_CANON
Peru,Madeinusa,2006,film,Claudia Llosa,Indigenous representation,IN_CANON
Peru,October,2010,film,Unknown,Contemporary Peru,IN_CANON
Peru,NN,2014,film,Unknown,Urban narrative,IN_CANON
Peru,The Healer,2018,film,Unknown,Family story,NOT_ON_TMDB
Peru,The Milk of Sorrow,2009,film,Claudia Llosa,Post-conflict and indigeneity,IN_CANON
Puerto Rico,Los peloteros,1953,film,Unknown,Sports and culture,IN_CANON
Puerto Rico,La guagua aérea,1993,film,Unknown,Migration and diaspora,IN_CANON
Puerto Rico,Cayo,2005,film,Unknown,Contemporary Puerto Rican cinema,IN_CANON
Puerto Rico,Mala mala,2014,film,Unknown,Queer and trans lives,IN_CANON
Puerto Rico,Antes que cante el gallo,2016,film,Unknown,Colonial history,IN_CANON
Puerto Rico,La pecera,2023,film,Unknown,Environmental crisis,IN_CANON
Uruguay,25 Watts,2001,film,Juan Pablo Steubal & Marcelo Viana,Deadpan national style,IN_CANON
Uruguay,A Useful Life,2010,film,Unknown,Working life,IN_CANON
Uruguay,Mr. Kaplan,2014,film,Unknown,Jewish-Uruguayan stories,IN_CANON
Uruguay,The Moneychanger,2019,film,Unknown,Social realism,IN_CANON
Uruguay,The Employer and the Employee,2021,film,Unknown,Working relationships,IN_CANON
Venezuela,Araya,1959,film,Margot Benacerraf,Documentary-poetic cinema,IN_CANON
Venezuela,The Roof of the Whale,1981,film,Unknown,Urban insecurity,IN_CANON
Venezuela,Oriana,1985,film,Unknown,Class and gender,IN_CANON
Venezuela,Sicario,1994,film,Unknown,Drug trade,IN_CANON
Venezuela,Secuestro Express,2005,film,Unknown,Urban violence,IN_CANON
Venezuela,Pelo malo,2013,film,Unknown,Gender expression,IN_CANON
Venezuela,The Family,2017,film,Unknown,Family narrative,IN_CANON
